title,company,location,salary,job_type,description,posted_date
Urgently required BPO Telecallers salary 22000 to 25000 in and around Mumbai,Not mentioned,"Mumbai - Powai, Abhyudaya Nagar, 150 Feet Road, Aarey Road + 1 more","22,000 - 25,000",Full Time Jobs,Urgently required BPO Telecallers salary 22000 to 25000 in and around Mumbai,"03 May 2025, 12:55 PM"
UNEXT is hiring for Business Development - Inside Sales,JOBOX HIRE,"Bangalore - Shivaji Nagar, Frazer Town, Ulsoor, Ejipura + 1 more","16,000 - 30,000",Full Time Jobs,UNEXT is hiring for Business Development - Inside Sales,"03 May 2025, 12:41 PM"
JoBox Is Hiring For Product Advisor - Salary 15K to 18K - Job location Hyderabad,JoBox Hire,"Hyderabad - Prakash Nagar, Begumpet, Nehru Nagar, Ambedkar Nagar-Film Nagar + 1 more","15,000 - 18,000",Full Time Jobs,JoBox Is Hiring For Product Advisor - Salary 15K to 18K - Job location Hyderabad,"03 May 2025, 12:40 PM"
JoBox Is Hiring For Product Advisor - Salary 17k to 20k - Job location Chennai,JoBox Hire,"Chennai - Parthasarathi Puram, T Nagar, North Usman Road, Besant Nagar + 1 more","17,000 - 20,000",Full Time Jobs,JoBox Is Hiring For Product Advisor - Salary 17k to 20k - Job location Chennai,"03 May 2025, 12:33 PM"
Telecallers || Anandbagh || Upto25k || Only Female || Fixe salary + Incentives,S S FINANCIAL MANAGEMENT CONSULTANCY PVT LTD,"Hyderabad - Anandbagh, Moula Ali, Secunderabad, ECIL + 1 more","10,000 - 25,000",Full Time Jobs,Telecallers || Anandbagh || Upto25k || Only Female || Fixe salary + Incentives,"30 Apr 2025, 06:38 PM"
Khivraj Elixir PVT LTD is Hiring for Customer Relationship Executive,Khivraj Motors,"Bangalore - Whitefield, Cunningham Road, A Dasarahalli, Dr. Rajkumar Road-Rajajinagar","18,000 - 20,000",Full Time Jobs,Khivraj Elixir PVT LTD is Hiring for Customer Relationship Executive,"30 Apr 2025, 04:23 AM"
CALL CENTER EXECUTIVES,GREATBELL,"Kochi - Kalamassery, Aluva, Kadavanthara, Edappally + 1 more","10,000 - 15,000",Full Time Jobs,CALL CENTER EXECUTIVES,"29 Apr 2025, 05:02 PM"
Customer Support Executive,UNIC FIN FAB PRIVATE LIMITED,Chennai - Nelson Manickam Road,"15,000 - 30,000",Full Time Jobs,Customer Support Executive,"29 Apr 2025, 11:17 AM"
Voice process Executive,Unic Fin Fab Private Limited,Chennai - Aminjikarai,"15,000 - 16,000",Full Time Jobs,Voice process Executive,"29 Apr 2025, 11:02 AM"
SALES EXECUTIVE,UNIC FIN FAB PVT LTD,"Chennai - Besant Nagar, Tambaram, Avadi, Royapettah","15,000 - 20,000",Full Time Jobs,SALES EXECUTIVE,"29 Apr 2025, 11:01 AM"
office coordinator,sea voyage,"Noida - Gautam Budh Nagar, Mamura","15,000 - 16,000",Full Time Jobs,office coordinator,"28 Apr 2025, 12:06 PM"
Telesales Executive in Hyderabad for a leading Insurance company for promotion of Insurance products,Not mentioned,"Hyderabad - Lakdikapul, Jubilee Hills, Panjagutta, Madhapur + 1 more","14,000 - 18,000",Full Time Jobs,Telesales Executive in Hyderabad for a leading Insurance company for promotion of Insurance products,"25 Apr 2025, 10:21 AM"
Telesales Executive for a reputed company in Chennai,For a pvt limited in Chennsi,"Chennai - Besant Nagar, AGS Colony, Kodambakkam, Nungambakkam + 1 more","15,000 - 20,000",Full Time Jobs,Telesales Executive for a reputed company in Chennai,"25 Apr 2025, 10:19 AM"
Telemarketing Executive,Shree drive,"Mumbai - Andheri East, Makwana Road, Marol","17,000 - 22,000",Full Time Jobs,Telemarketing Executive,"18 Apr 2025, 08:18 PM"
Wanted Telecallers,Not mentioned,"Coimbatore - Gandhipuram, New Siddhapudur, RS Puram, Peelamedu + 1 more","10,000 - 15,000",Full Time Jobs,Wanted Telecallers,"12 Apr 2025, 02:59 PM"
Tele Sales Execuitive,Quikrjobs,"Bangalore - Subbannaiah Palya, Sultanpalya, Tannery Road, Thanisandra + 1 more","20,000 - 25,000",Full Time Jobs,Tele Sales Execuitive,"12 Apr 2025, 02:59 PM"
need candidate for bpo,Not mentioned,"Lucknow - Sharda Nagar, A P Sabha, Aashiana, Adarsh Nagar + 1 more","10,000 - 15,000",Full Time Jobs,need candidate for bpo,"08 Mar 2025, 06:04 PM"
office work,Not mentioned,Chengalpattu,"25,000 - 45,000",Full Time Jobs,office work,"03 May 2025, 06:24 PM"
Telesales Executive,Star Health Insurance,"Chennai - Vadapalani, Aminjikarai","20,000 - 30,000",Full Time Jobs,Telesales Executive,"02 May 2025, 09:07 PM"
SALES EXECUTIVE,a s card franchises private limited,"Delhi - West Delhi, Sagar Pur, Ramesh Nagar, Nangloi + 1 more","12,000 - 20,000",Full Time Jobs,SALES EXECUTIVE,"02 May 2025, 05:45 PM"
HIRING FIELD EXECUTIVE FOR BANKING COLLECTION,LEADERS,"Chennai - Tambaram, Porur, T Nagar, Ambattur + 1 more","15,000 - 20,000",Full Time Jobs,HIRING FIELD EXECUTIVE FOR BANKING COLLECTION,"01 May 2025, 10:13 AM"
HIRING TELECALLER BOTH MALE AND FEMALE,LEADERS,"Chennai - T Nagar, Ashok Nagar, Kodambakkam, Saidapet + 1 more","15,000 - 20,000",Full Time Jobs,HIRING TELECALLER BOTH MALE AND FEMALE,"30 Apr 2025, 09:25 PM"
"telecalling, team manegement, back end , administration.",Not mentioned,Chennai - Egmore,"25,000 - 35,000",Full Time Jobs,"telecalling, team manegement, back end , administration.","30 Apr 2025, 03:34 PM"
sales executive,Landster Projects Pvt ltd,"Chennai - Vadapalani, Adyar, Guindy, Tambaram + 1 more","15,000 - 25,000",Full Time Jobs,sales executive,"30 Apr 2025, 03:17 PM"
Khivraj Motors is Hiring for Customer Relationship Executive,Khivraj Motors,"Bangalore - Kalyan Nagar, HRBR Layout, MG Road","18,000 - 20,000",Full Time Jobs,Khivraj Motors is Hiring for Customer Relationship Executive,"30 Apr 2025, 04:24 AM"
LOOKING IMMEDIATE JOINING FOR TELECALLING EXECUTIVE,UNIC FIN FAB PRIVATE LIMITED,"Chennai - Besant Nagar, Tambaram, Parrys, Porur + 1 more","15,000 - 30,000",Full Time Jobs,BPO/ Telecaller,"29 Apr 2025, 11:17 AM"
Urgent Hiring for Debt Recovery Agent,YG Connect Pvt Ltd,"Bangalore - Bapuji Nagar, Binnipete, Kamala Nagar, Yeshwanthpur + 1 more","14,000 - 20,000",Full Time Jobs,"BPO/ Telecaller - Incoming, Outgoing, Domestic, Voice","28 Apr 2025, 01:49 PM"
JoBox is Hiring For International Voice Process,JoBox Hire,"Chennai - Thiruvanmiyur, Avvai Nagar-Thiruvanmiyur, Anna Nagar, Besant Nagar + 1 more","35,000 - 40,000",Full Time Jobs,"BPO/ Telecaller - Incoming, Outgoing, Domestic, International + 9 more","28 Apr 2025, 10:55 AM"
Urgent Hiring Tele caller Executives For Real Estate Business,Khed Logistics Park India LLP,"Pune - Hadapsar, Swargate, Deccan, Shivaji Nagar + 1 more","12,000 - 18,000",Full Time Jobs,"BPO/ Telecaller - Incoming, Outgoing, Domestic, Voice + 1 more","27 Apr 2025, 10:19 AM"
WALK IN - FRESHERS & EXPERIENCED TELECALLERS - FIXED SAL 14K-18K - HEALTH INSURANCE PROCESS BPO AT TEMPLE TOWERS MOUNT ROAD NANDANAM,CARE INSURANCE BPO CALL CENTER,"Chennai - T Nagar, Tambaram, Nungambakkam, Kodambakkam + 1 more","14,000 - 18,000",Full Time Jobs,BPO/ Telecaller,"27 Apr 2025, 12:44 AM"
100 TELECALLERS WANTED FOR STAR HEALTH INSURANCE - FRESHERS & EXPERIENCED WELCOME - WALKIN FOR IMMEDIATE JOINING,STAR INSURANCE BPO CALL CENTER,Chennai - Full City,"14,000 - 18,000",Full Time Jobs,BPO/ Telecaller,"27 Apr 2025, 12:42 AM"
Telecaller Executive,Alnik Marketing Technologies Private Limited,"Bangalore - Binnamangala, Indira Nagar","10,000 - 15,000",Full Time Jobs,"BPO/ Telecaller - Incoming, Outgoing, Domestic, Voice","26 Apr 2025, 04:50 PM"
Tele Counsellor- Domestic,Altis Techno Solutions,Gurgaon - Sector 18,"15,000 - 19,000",Full Time Jobs,BPO/ Telecaller,"26 Apr 2025, 10:58 AM"
Sales Representative,Dhani Properties,"Bangalore - Yelahanaka, Hebbal, Vidyaranyapura, RT Nagar + 1 more","25,000 - 35,000",Full Time Jobs,BPO/ Telecaller,"25 Apr 2025, 01:08 PM"
URGENT REQUIREMENT FOR SALES EXECUTIVE ...,Not mentioned,"Bangalore - Bharat Nagar, HBR Layout, Hegde Nagar, Hormavu + 1 more","20,000 - 30,000",Full Time Jobs,"BPO/ Telecaller - Incoming, Outgoing, Domestic, International + 9 more","12 Apr 2025, 02:59 PM"
Tele Caller,Quikr,"Bangalore - Shivaji Nagar, Hebbal, Veerannapalya, Thanisandra + 1 more","22,000 - 28,000",Full Time Jobs,"BPO/ Telecaller - Incoming, Outgoing, Domestic, Voice","12 Apr 2025, 02:58 PM"
WANTED TELLECALLERS REQUIREMENT ALL OVER CITY,company,"Hyderabad - Dilsukh Nagar, Ameerpet, Kukatpally, LB Nagar + 1 more","15,000 - 20,000",Full Time Jobs,"BPO/ Telecaller - Incoming, Outgoing, Domestic, International + 9 more","12 Apr 2025, 02:58 PM"
urgent requirement for tele callers,Quikr,"Bangalore - 7th Block, A Dasarahalli, AGS Layout, Abbigere + 1 more","25,000 - 26,000",Full Time Jobs,BPO/ Telecaller - Sales,"12 Apr 2025, 02:58 PM"
Urgent Hiring For Female Tele Callers In Bangalore With Attractive Salary,Quikr India Pvt Ltd,"Bangalore - Vijaya Nagar, Mysore Road, Nagarbhavi Circle, Banashankari + 1 more","13,000 - 17,000",Full Time Jobs,"BPO/ Telecaller - Incoming, Outgoing, Domestic, Voice + 3 more","12 Apr 2025, 02:58 PM"
