title,company,location,salary,job_type,description,posted_date
Work from Home Part Time Full Time Fresher and Experience job in Surat for Data Entry Back Office,Not mentioned,"Surat - Abhva, Bamroli, Godadara, Harinagar + 1 more","25,000 - 45,000",Full Time Jobs,Work from Home Part Time Full Time Fresher and Experience job in Surat for Data Entry Back Office,"03 May 2025, 04:45 PM"
Part Time Full Time Fresher and Experience job in Gorakhpur for Data Entry Back Office,Not mentioned,"Gorakhpur - Alinagar, Azad Nagar, Bhagwanpur Bujurg, Chargawa + 1 more","25,000 - 45,000",Full Time Jobs,Part Time Full Time Fresher and Experience job in Gorakhpur for Data Entry Back Office,"03 May 2025, 04:39 PM"
Urgently Hiring for Data entry Computer Operator,Not mentioned,"Chennai - 200 Feet Radial Road, Alathur, Annai Indira Nagar, Attipattu + 1 more","22,000 - 24,000",Work From Home,Urgently Hiring for Data entry Computer Operator,"03 May 2025, 02:14 PM"
Urgently Hiring for Data entry Computer Operator,Not mentioned,"Bangalore - Shivanagar, Kamanahalli, BTM Layout 2nd Stage, Hebbal + 1 more","14,000 - 18,000",Part Time Jobs,Urgently Hiring for Data entry Computer Operator,"03 May 2025, 12:05 PM"
"Urgently hiring for Data entry, Computer operator Back office executive",Not mentioned,"Hyderabad - 1st Phase Allwyn Colony, Balaji Nagar-Badangpet, Central Park-Serilingampally, Dayanand Nagar + 1 more","22,000 - 24,000",Part Time Jobs,"Urgently hiring for Data entry, Computer operator Back office executive","03 May 2025, 12:04 PM"
Business Associate,Not mentioned,Kolkata - Park Street,"15,000 - 18,500",Full Time Jobs,Business Associate,"03 May 2025, 09:59 AM"
Open vacancy in Samsung Electronics Required Fresher Male & Female Candidates in pan India location,SAMSUNG ELECTRONICS,"Vadodara - Alaknanda society, Alamgir, Amit Nagar, Anand Baug Society + 1 more","19,500 - 55,500",Full Time Jobs,Open vacancy in Samsung Electronics Required Fresher Male & Female Candidates in pan India location,"02 May 2025, 03:20 PM"
Open vacancy in Samsung Electronics Required Fresher Male & Female Candidates in pan India location,SAMSUNG ELECTRONICS PAN INDIA,"Surat - Ajwa Road, Alamgir, Amit Nagar, Anand Baug Society + 1 more","19,500 - 55,000",Full Time Jobs,Open vacancy in Samsung Electronics Required Fresher Male & Female Candidates in pan India location,"01 May 2025, 08:38 PM"
Data entry,Not mentioned,Chandigarh - Full City,"35,000 - 50,000",Work From Home,Data entry,"30 Apr 2025, 01:09 PM"
Open vacancy in Samsung Electronics Required Fresher Male & Female Candidates in pan India location,SAMSUNG ELECTRONICS PAN INDIA,"Vijayawada - 1 Town, Ayodhyanagar, Bharathi Nagar, Brindavan Colony + 1 more","19,500 - 55,500",Full Time Jobs,Open vacancy in Samsung Electronics Required Fresher Male & Female Candidates in pan India location,"30 Apr 2025, 01:07 PM"
Open vacancy in Samsung Electronics Required Fresher Male & Female Candidates in pan India location,SAMSUNG ELECTRONICS PAN INDIA,"Mysore - Adipampa Road, Airport Road, Alanahalli Layout, Aravinda Nagar + 1 more","19,500 - 55,000",Full Time Jobs,Open vacancy in Samsung Electronics Required Fresher Male & Female Candidates in pan India location,"30 Apr 2025, 12:41 PM"
Open vacancy in Samsung Electronics Required Fresher Male & Female Candidates in pan India location,SAMSUNG ELECTRONICS PAN INDIA,"Bangalore - 7th Block, AECS Layout - C Block, AMCO Colony, Achit Nagar + 1 more","19,500 - 55,000",Full Time Jobs,Open vacancy in Samsung Electronics Required Fresher Male & Female Candidates in pan India location,"29 Apr 2025, 09:32 PM"
"Data Entry Operator Required to List the Products on Different Websites Like Alibaba, Indiamart",King International,"Delhi - Ashok Vihar, Shalimar Bagh, Rohini, Jahangir Puri + 1 more","10,000 - 11,000",Full Time Jobs,"Data Entry Operator Required to List the Products on Different Websites Like Alibaba, Indiamart","29 Apr 2025, 06:06 PM"
Open vacancy in Samsung Electronics Required Fresher Male & Female Candidates in pan India location,SAMSUNG ELECTRONICS PAN INDIA,"Patan - Santalpur, Srinagar, Hanuman Nagar, Birla Colony + 1 more","19,500 - 55,000",Full Time Jobs,Open vacancy in Samsung Electronics Required Fresher Male & Female Candidates in pan India location,"29 Apr 2025, 06:06 PM"
Open vacancy in Samsung Electronics Required Fresher Male & Female Candidates in pan India location,SAMSUNG ELECTRONICS PAN INDIA,"Gandhinagar - Ambica Nagar, Anand Nagar, Chandkheda, GEB Colony + 1 more","19,500 - 55,000",Full Time Jobs,Open vacancy in Samsung Electronics Required Fresher Male & Female Candidates in pan India location,"29 Apr 2025, 05:59 PM"
Open vacancy in Samsung Electronics Required Fresher Male & Female Candidates in pan India location,SAMSUNG ELECTRONICS PAN INDIA,"Jamnagar - Ajanta Society, Aman Society, Chandi Bazaar, Gandhi Nagar + 1 more","19,500 - 59,500",Full Time Jobs,Open vacancy in Samsung Electronics Required Fresher Male & Female Candidates in pan India location,"29 Apr 2025, 05:59 PM"
"Data Entry Operator - Ashok Nagar, Chennai",DEWIIT INFOEDGE,"Chennai - Ashok Nagar, Vadapalani, Kodambakkam, Saligramam + 1 more","12,000 - 15,000",Full Time Jobs,"Data Entry Operator - Ashok Nagar, Chennai","28 Apr 2025, 02:28 PM"
Open vacancy in Samsung Electronics Required Fresher Male & Female Candidates in Pan India Location,SAMSUNG ELECTRONICS PAN INDIA,"Allahabad - ADA Colony, Alka Puri Colony, Allahabad, Allahabad Airport + 1 more","19,500 - 65,000",Full Time Jobs,Open vacancy in Samsung Electronics Required Fresher Male & Female Candidates in Pan India Location,"28 Apr 2025, 12:55 PM"
