title,company,location,salary,job_type,description,posted_date
TEAM LEADER,BS ENTERPRISES,"Chennai - Ashok Nagar, Anna Nagar, Kodambakkam, Saidapet + 1 more","20,000 - 25,000",Full Time Jobs,"Delivery/Collections - Cash-Collection, Recovery-Collection","03 May 2025, 03:08 PM"
Delivery Boys,Flipkart,"Rajpura - Dashmesh Colony, Ganesh Nagar, Gobind Colony, New SBS Colony","20,000 - 25,000",Full Time Jobs,Delivery/Collections - Courier-Delivery,"03 May 2025, 01:25 PM"
We are seeking a relible and efficient delivery boy to join our team.,NOT MENTIONED,"Bhubaneswar - Birabandha, Dhauli Square, Jatni Road, Nuagan + 1 more","15,000 - 16,000",Full Time Jobs,Delivery/Collections,"02 May 2025, 12:28 PM"
FIELD EXECTIVE,BS ENTERPRISES,"Chennai - Thiruvallur, Tambaram, Washermanpet, Ambattur + 1 more","15,000 - 18,000",Full Time Jobs,Delivery/Collections,"01 May 2025, 10:18 AM"
Delivery Boys,Flipkart,"Mohali - Kharar - Landran Road, Kharar, Sunny Enclave, Balongi","25,000 - 30,000",Full Time Jobs,Delivery/Collections - Courier-Delivery,"29 Apr 2025, 10:59 AM"
Delivery Boys,Flipkart,"Mohali - Kharar - Landran Road, Kharar Road, Kharar-Kurali Highway, Sunny Enclave + 1 more","25,000 - 30,000",Full Time Jobs,Delivery/Collections - Courier-Delivery,"29 Apr 2025, 10:59 AM"
JoBox is hiring for Recovery & Collection Officer RCO,JoBox Hire,"Chennai - T Nagar, Koyambedu, Anna Nagar, Nungambakkam + 1 more","35,000 - 40,000",Full Time Jobs,Delivery/Collections - Documents-Collection,"27 Apr 2025, 12:49 AM"
urgently hiring for delivery Executive in chennai,Not mentioned,"Chennai - Avadi, Poonamallee High Road, Kilkattalai, Mogappair + 1 more","20,000 - 25,000",Full Time Jobs,Delivery/Collections,"25 Apr 2025, 12:44 PM"
Delivery Boys,Flipkart,"Rupnagar - Anandpur Sahib, Bela Road","18,000 - 20,000",Full Time Jobs,Delivery/Collections - Courier-Delivery,"02 May 2025, 12:31 PM"
Courier delivery executive,Not mentioned,Salem - Fairlands,"10,000 - 15,000",Full Time Jobs,Delivery/Collections,"28 Apr 2025, 10:20 AM"
Delivery Executive Required - 7532801629,Flipkart,"Greaternoida - Pari Chowk, P3","16,500 - 17,500",Full Time Jobs,"Delivery/Collections - Courier-Delivery, Van-Delivery","25 Apr 2025, 02:34 PM"
