title,company,location,salary,job_type,description,posted_date
Driver Direct Walkin - 03-05-2025 to 15-05-2025,Confidential,Chennai - Kelambakkam Vandalur Road,"18,000 - 20,000",Full Time Jobs,"Driver - Company-driver, Private-Driver, Commercial-Transport-Driver, Heavy-Vehicle-Driver","03 May 2025, 11:10 AM"
3EV drivers,3eco system private pvt.ltd,"Bangalore - Yeshwanthpur, Huskur, Mahadevapura, Soukya Road + 11 more","24,000 - 30,000",Full Time Jobs,"Driver - E-Rickshaw-Driver, Auto-Driver","02 May 2025, 10:52 PM"
Car Drivers,Not mentioned,"Hyderabad - Himayat Nagar, Banjara Hills, Tolichowki, Gandipet + 1 more","3,000 - 45,000",Full Time Jobs,"Driver - Company-driver, Private-Driver, Others","02 May 2025, 05:48 PM"
3ev job,3eco system private pvt.ltd,"Bangalore - Attibele, Attibele - Anekal Road, Electronic City, Electronic City Phase I + 13 more","23,469 - 30,000",Full Time Jobs,"Driver - E-Rickshaw-Driver, Auto-Driver","30 Apr 2025, 08:50 AM"
urgent Hiring of Driver with attractive salary,vs comfort line,"Bangalore - Indira Nagar, Ulsoor, New Thippasandra, Jeevanbheema Nagar + 1 more","18,000 - 20,000",Full Time Jobs,Driver - Company-driver,"30 Apr 2025, 08:31 AM"
Required cab drivers for chennai location,Not mentioned,"Chennai - Adambakkam, Alandur, St Thomas Mount, Guindy","18,000 - 20,000",Full Time Jobs,Driver,"28 Apr 2025, 12:12 PM"
CAR - BIKE DRIVER JOB VISA IN SAUDI ARABIA,AL HAMZA TRAVELS,Saudiarabia,"37,000 - 46,000",Work Abroad,"Driver - Company-driver, Private-Driver, Commercial-Transport-Driver, Interstate-Driver + 5 more","27 Apr 2025, 10:37 AM"
Driver Job In Saudi Arabia EMPLOYMENT VISA,AL HAMZA TRAVELS,"Lucknow - Charbagh, Alambagh, Chowk, Lucknow - Faizabad Road + 1 more","37,000 - 55,000",Work From Home,"Driver - Company-driver, Private-Driver, Commercial-Transport-Driver, Interstate-Driver + 5 more","26 Apr 2025, 07:53 PM"
Driver required- 22000 in hand salary,Not mentioned,Gurgaon - Sector 45,"20,000 - 22,000",Full Time Jobs,Driver,"26 Apr 2025, 06:56 PM"
Urgent Driver Required for personal car,Not mentioned,Lucknow - 60 Feet Road,"7,000 - 12,000",Full Time Jobs,Driver,"26 Apr 2025, 10:21 AM"
URGENT HIRING FOR DRIVER IN ABROAD,Not mentioned,"Chennai - 200 Feet Radial Road, Alathur, Chengalpattu, Chembarambakkam + 1 more","82,000 - 99,999",Full Time Jobs,Driver - Company-driver,"24 Apr 2025, 04:55 PM"
Urgently hiring for drivers with attractive salary in reputed companies,Unites Infra services private limited,"Bangalore - Yeshwanthpur, Yeswanthpur, Jalahalli, Nelamangala + 1 more","18,000 - 19,000",Full Time Jobs,Driver - Company-driver,"24 Apr 2025, 01:42 AM"
urgently required passenger car driver,WOODMAN SECURITY AND ALLIED SERVICES PVT LTD,"Bangalore - Goraguntepalya, Yeshwanthpur, Jalahalli","15,000 - 16,000",Full Time Jobs,Driver - Private-Driver,"23 Apr 2025, 08:23 PM"
WANT HEAVY DRIVER,Ashok Leyland(Ennore Plant),"Chennai - Tiruvottiyur, Manali, Ponneri, Tondiarpet + 1 more","20,000 - 30,000",Full Time Jobs,"Driver - Company-driver, Commercial-Transport-Driver, Heavy-Vehicle-Driver, Truck-driver","23 Apr 2025, 01:48 PM"
Driver Job Opening Available in Singapore,Not mentioned,Singapore,"95,000 - 99,999",Work Abroad,Driver,"23 Apr 2025, 07:07 AM"
91EV Is Urgently Hiring for 3 wheeler Mahindra Electric Auto .,NINEONE EV PVT LTD,"Hyderabad - Miyapur, Hafeezpet, Pragathi Nagar Road, Bachupally + 1 more","26,000 - 30,000",Full Time Jobs,Driver - Auto-Driver,"22 Apr 2025, 09:08 PM"
A driver is needed for RedTaxi. The candidate must have a valid badge and knowledge of electric vehicles.,Not mentioned,Coimbatore - Coimbatore Airport,"15,000 - 30,000",Full Time Jobs,Driver - Taxi driver,"22 Apr 2025, 05:49 PM"
Urgent Vacancy Driver Honda Motors Company Knowleage Google Map Route Knowleage Fresher & Experience Candidates Apply,Honda Company,"Jaipur - Jhotwara, Kanota, Kukas, Paldi Meena + 1 more","23,500 - 48,500",Full Time Jobs,"Driver - Company-driver, Private-Driver, Commercial-Transport-Driver, Interstate-Driver + 10 more","21 Apr 2025, 02:13 PM"
HIRING FOR DRIVERS FOR HYD LOCATION || UP TO 30K,SRINIKA TOURS AND TRAVELS,"Vijayawada - Adavinekkalam, Ayyappa Nagar, Chevitikallu, Chittinagar + 1 more","25,000 - 30,000",Full Time Jobs,Driver - Taxi/Cab,"19 Apr 2025, 01:44 PM"
We are hring for driver in singapore,Not mentioned,Singapore,"80,000 - 97,000",Work Abroad,"Driver - Company-driver, Private-Driver, Commercial-Transport-Driver, Interstate-Driver + 10 more","14 Apr 2025, 08:02 AM"
Driver for small comercial loader LMV licence required,thekabadiwala,"Nagpur - Bhandewadi, Chandranagar, Sai Nagar, Bidgaon + 1 more","12,500 - 13,500",Full Time Jobs,"Driver - Company-driver, Private-Driver, Commercial-Transport-Driver, Interstate-Driver + 7 more","02 May 2025, 04:28 PM"
Urgent Hiring Driver job for Rajiv Gandhi International Airport Hyderabad.,Keshav Sharma,"Hyderabad - Banjara Hills, HITEC City, Jubilee Hills, Kokapet + 1 more","25,500 - 46,500",Full Time Jobs,"Driver - Company-driver, Private-Driver, Commercial-Transport-Driver, Interstate-Driver + 10 more","02 May 2025, 12:24 PM"
Driver for Home,Not mentioned,Chennai - Thoraipakkam,"20,000 - 23,000",Full Time Jobs,Driver - Private Driver,"02 May 2025, 10:18 AM"
Driver for automatic car,Not mentioned,"Nagpur - Rana Pratap Nagar, Telecom Nagar","9,000 - 12,000",Full Time Jobs,Driver,"30 Apr 2025, 05:50 PM"
HIRING FOR DRIVERS FOR HYD LOCATION || UP TO 30K,SRINIKA TOURS AND TRAVELS,"Suryapet - Balaram Thanda, Ambedkar Nagar, Nuthankal, Suryapeta Khammam Road + 1 more","25,000 - 30,000",Full Time Jobs,Driver - Taxi/Cab,"30 Apr 2025, 10:02 AM"
HIRING FOR DRIVERS FOR HYD LOCATION || UP TO 30K,SRINIKA TOURS AND TRAVELS,Hyderabad,"25,000 - 30,000",Full Time Jobs,Driver - Taxi/Cab,"30 Apr 2025, 10:02 AM"
