title,company,location,salary,job_type,description,posted_date
Open vacancy in Samsung Electronics Required Fresher Male & Female Candidates in pan India location,SAMSUNG ELECTRONICS,Agra,"19,500 - 55,000",Full Time Jobs,Office Assistant/Helper,"03 May 2025, 10:43 AM"
Open vacancy in Samsung Electronics Required Fresher Male & Female Candidates in pan India location,SAMSUNG ELECTRONICS,Aligarh,"19,500 - 50,500",Full Time Jobs,Office Assistant/Helper,"03 May 2025, 10:39 AM"
Open vacancy in Samsung Electronics Required Fresher Male & Female Candidates in pan India location,SAMSUNG ELECTRONICS,Varanasi,"19,500 - 55,500",Full Time Jobs,Office Assistant/Helper,"03 May 2025, 10:39 AM"
Open vacancy in Samsung Electronics Required Fresher Male & Female Candidates in pan India location,SAMSUNG ELECTRONICS,Cuttack,"19,500 - 55,000",Full Time Jobs,Office Assistant/Helper,"02 May 2025, 04:21 PM"
Work from Home Part Time Full Time and Fresher job in Guwahati for Office Assistant Helper,Not mentioned,Guwahati,"25,000 - 45,000",Full Time Jobs,"Office Assistant/Helper - Clerk, Pantry-Boy, Inventory-Incharge, Front-desk","02 May 2025, 10:18 AM"
Open vacancy in Samsung Electronics Required Fresher Male & Female Candidates in pan India location,SAMSUNG ELECTRONICS,Pune,"19,500 - 55,500",Full Time Jobs,Office Assistant/Helper,"01 May 2025, 03:32 AM"
Open vacancy in Samsung Electronics Required Fresher Male & Female Candidates in pan India location,SAMSUNG ELECTRONICS,Navimumbai,"19,500 - 55,500",Full Time Jobs,Office Assistant/Helper,"28 Apr 2025, 10:21 AM"
Open vacancy in Samsung Electronics Required Fresher Male & Female Candidates in pan India location,SAMSUNG ELECTRONICS,Nashik,"19,500 - 55,500",Full Time Jobs,Office Assistant/Helper,"28 Apr 2025, 10:21 AM"
Open vacancy in Samsung Electronics Required Fresher Male & Female Candidates in pan India location,SAMSUNG ELECTRONICS,Indore,"19,500 - 55,500",Full Time Jobs,Office Assistant/Helper,"28 Apr 2025, 10:21 AM"
We want Office Assistant with Two Wheeler,NEWWAVE MANAGEMENT SERVICES,Chennai,"14,000 - 15,000",Full Time Jobs,"Office Assistant/Helper - Clerk, Front-desk","28 Apr 2025, 12:58 AM"
Office Assistant Opening Available in Singapore,Not mentioned,Singapore,"95,000 - 99,999",Work Abroad,Office Assistant/Helper,"27 Apr 2025, 09:07 AM"
Open vacancy in Samsung Electronics Required Fresher Male & Female Candidates in pan India location,SAMSUNG ELECTRONICS,Jamshedpur,"19,500 - 55,500",Full Time Jobs,Office Assistant/Helper,"25 Apr 2025, 04:23 PM"
Urgently Hiring for Helper Assistant || APPLY NOW,Fortran Steel Pvt. Ltd.,Navimumbai,"12,000 - 15,000",Full Time Jobs,"Office Assistant/Helper - Clerk, Pantry-Boy, Inventory-Incharge, Front-desk","25 Apr 2025, 02:50 PM"
PERSONAL SECRETARY FEMALE,Not mentioned,Kolkata,"30,000 - 75,000",Full Time Jobs,Office Assistant/Helper,"24 Apr 2025, 04:14 PM"
Female personal secretary needed for the managing director,Not mentioned,Delhi,"55,000 - 60,000",Full Time Jobs,Office Assistant/Helper,"24 Apr 2025, 04:13 PM"
Open vacancy in Samsung Electronics Required Fresher Male & Female Candidates in pan India location,SAMSUNG ELECTRONICS,Puri,"19,500 - 55,500",Full Time Jobs,Office Assistant/Helper,"03 May 2025, 10:39 AM"
Open vacancy in Samsung Electronics Required Fresher Male & Female Candidates in pan India location,SAMSUNG ELECTRONICS,Rourkela,"19,500 - 55,000",Full Time Jobs,Office Assistant/Helper,"30 Apr 2025, 09:18 PM"
Work from Home Part Time Full Time and Fresher job in Moradabad for Office Assistant Helper,Not mentioned,Moradabad,"25,000 - 45,000",Full Time Jobs,"Office Assistant/Helper - Clerk, Pantry-Boy, Inventory-Incharge, Front-desk","30 Apr 2025, 01:11 PM"
Open vacancy in Samsung Electronics Required Fresher Male & Female Candidates in pan India location,SAMSUNG ELECTRONICS,Varanasi,"19,500 - 55,500",Full Time Jobs,Office Assistant/Helper,"30 Apr 2025, 12:57 AM"
Open vacancy in Samsung Electronics Required Fresher Male & Female Candidates in pan India location,SAMSUNG ELECTRONICS,Mumbai,"19,500 - 55,500",Full Time Jobs,Office Assistant/Helper,"28 Apr 2025, 06:37 PM"
Open vacancy in Samsung Electronics Required Fresher Male & Female Candidates in pan India location,SAMSUNG ELECTRONICS PAN INDIA,Nizamabad,"19,500 - 55,000",Full Time Jobs,Office Assistant/Helper - Pantry-Boy,"28 Apr 2025, 02:28 PM"
Part Time Full Time Experience and Fresher job in Sultanpur for Office Assistant Helper,Not mentioned,Sultanpur,"25,000 - 45,000",Full Time Jobs,"Office Assistant/Helper - Clerk, Pantry-Boy, Inventory-Incharge, Front-desk","28 Apr 2025, 10:45 AM"
Open vacancy in Samsung Electronics Required Fresher Male & Female Candidates in pan India location,SAMSUNG ELECTRONICS,Srinagar,"19,500 - 55,500",Full Time Jobs,Office Assistant/Helper,"28 Apr 2025, 10:21 AM"
URGENT HIREING HELPERS || BALANAGR || SALARY UPTO 20K,Not mentioned,Hyderabad,"15,000 - 20,000",Full Time Jobs,"Office Assistant/Helper - Clerk, Pantry-Boy, Inventory-Incharge, Front-desk","28 Apr 2025, 10:20 AM"
OFFICE ASSISTANT 5 VACCANCY,Not mentioned,Kochi,"15,000 - 28,000",Full Time Jobs,"Office Assistant/Helper - Clerk, Front desk","28 Apr 2025, 10:19 AM"
Open vacancy in Samsung Electronics Required Fresher Male & Female Candidates in pan India location,SAMSUNG ELECTRONICS,"Jabalpur - Anuradha Colony, Katangi, Madan Mahal, Maitri Nagar + 1 more","19,500 - 55,000",Full Time Jobs,Office Assistant/Helper,"25 Apr 2025, 04:23 PM"
Open vacancy in Samsung Electronics Required Fresher Male & Female Candidates in pan India location,SAMSUNG ELECTRONICS,"Bhopal - Ahinsa Vihar Colony, Anna Nagar, Apex Bank Colony, Navbahar Colony + 1 more","19,500 - 55,500",Full Time Jobs,Office Assistant/Helper,"25 Apr 2025, 04:23 PM"
