title,company,location,salary,job_type,description,posted_date
SALES EXECUTIVE || IMMEDIATE HIRING || SALARY UPTO 50000,WINSPARK INNOVATIONS LEARNING PRIVATE LIMITED,"Patna - Bakerganj, Biscomaun Colony, Ekta Nagar, Kankarbagh + 1 more","28,000 - 50,000",Full Time Jobs,Sales,"03 May 2025, 03:52 PM"
Hiring Telecalling executive Bangalore,IAMT GLOBAL ACADEMY,"Bangalore - Jayanagar, Bangalore Bazaar","18,000 - 30,000",Full Time Jobs,"Sales - ED-Tech-Sales, Telecom","03 May 2025, 03:42 PM"
JoBox is hiring for field sales executive,Jobox Hire,"Bangalore - Koramangala, BTM Layout, Shivaji Nagar, Indira Nagar + 1 more","30,000 - 33,000",Full Time Jobs,Sales,"03 May 2025, 12:33 PM"
Industrial Marketing of Hardware Items,KRISHNA BEARINGS,"Faridabad - Sanjay Colony, Ballabhgarh, Dabua Colony, Jawahar Colony + 1 more","15,000 - 16,000",Full Time Jobs,"Sales - Manufacturing, B2B-sales, Industrial-Sales","02 May 2025, 10:17 AM"
SALES EXECUTIVE || IMMEDIATE HIRING || SALARY UPTO 50000,WINSPARK INNOVATIONS LEARNING PRIVATE LIMITED,"Coimbatore - Anantha Nagar, Avarampalayam Road, Coimbatore Airport, EB Colony + 1 more","28,000 - 50,000",Full Time Jobs,Sales,"01 May 2025, 07:45 PM"
SALES EXECUTIVE || IMMEDIATE HIRING || SALARY UPTO 50000,WINSPARK INNOVATIONS LEARNING PRIVATE LIMITED,"Kolkata - Anandapur, Baithakkhana, Bedia Danga, Bowbazar + 1 more","28,000 - 50,000",Full Time Jobs,Sales,"29 Apr 2025, 07:19 PM"
Pharmacist Assistant,Thulasi Pharmacies India Private Limited,"Coimbatore - Thudiyalur, Ganapathy, Saravanampatti, PN Pudur + 1 more","12,000 - 15,000",Full Time Jobs,Sales - Pharma,"29 Apr 2025, 11:29 AM"
Business Development Associate || IMMEDIATE HIRING || SALARY UPTO 50000,WINSPARK INNOVATIONS LEARNING PRIVATE LIMITED,"Mysore - Banooru, Earangere, Hunsur Road, Krs Road + 1 more","28,000 - 50,000",Full Time Jobs,Sales,"28 Apr 2025, 11:23 AM"
Business Development Associate || IMMEDIATE HIRING || SALARY UPTO 50000,WINSPARK INNOVATIONS LEARNING PRIVATE LIMITED,"Kota - Indraprastha Industrial Area, Rama Krishna Puram, Vigyan Nagar, Vallabh Bari + 1 more","28,000 - 50,000",Full Time Jobs,Sales,"28 Apr 2025, 11:23 AM"
Business Development Associate || IMMEDIATE HIRING || SALARY UPTO 50000,WINSPARK INNOVATIONS LEARNING PRIVATE LIMITED,"Surat - Chapprabhatta, Hazira - Adajan Road, Kim, Rander + 1 more","28,000 - 50,000",Full Time Jobs,Sales,"28 Apr 2025, 11:23 AM"
Business Development Associate || IMMEDIATE HIRING || SALARY UPTO 50000,WINSPARK INNOVATIONS LEARNING PRIVATE LIMITED,"Mohali - Khera, Sector 117, Sector 80, Sector-82 + 1 more","28,000 - 50,000",Full Time Jobs,Sales,"28 Apr 2025, 10:54 AM"
Business Development Associate || IMMEDIATE HIRING || SALARY UPTO 50000,WINSPARK INNOVATIONS LEARNING PRIVATE LIMITED,"Noida - Sector 86, Sector 149, Sector 69, Sector-151 + 1 more","28,000 - 50,000",Full Time Jobs,Sales,"28 Apr 2025, 10:53 AM"
